"SKU","Qtd Vendida","Data da Venda","Código Cliente","Produto","Marca","","Categoria","Preço Unitário","","Custo Unitário","Preço com Desconto","Ticket","Loja","Gerente","Data de Nascimento","Nome Cliente","Sobrenome cliente","","Gênero"
"HL1013","2","1/1/2016","576","Câmera Coolpix L340","Nikon","","Câmera","1550","","700","1318","Ticket Baixo","São Paulo - SP","Diego Amorim","7/16/1957","Alberto","Marchesi","","M"
"HL1010","2","1/1/2016","373","iPhone 6S","Apple","","Celular","1900","","1150","1615","Ticket Baixo","Salvador - BA","Allan Centurione","10/10/1999","Leandro","Netto","","M"
"HL1008","1","1/1/2016","219","Smart TV LED Full HD 55'","Philco","","Televisão","2000","","1250","1700","Ticket Baixo","Rio de Janeiro - RJ","Allan Centurione","8/14/1969","Bruno","Portela","","M"
"HL1021","1","1/1/2016","75","Galaxy S8","Samsung","","Celular","3000","","1400","2550","Ticket Médio","online","Carolina Biccas","7/3/1976","Maria","Portillo","","F"
"HL1009","1","1/1/2016","12","Moto G7","Motorola","","Celular","1400","","750","1190","Ticket Baixo","São Paulo - SP","Pedro Henrique","6/11/1968","Victor","Johnson","","M"
"HL1001","3","1/2/2016","228","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","São Paulo - SP","Arthur Barreto","9/19/1999","Lucas","Jordao","","M"
"HL1005","5","1/2/2016","407","Câmera Digital Rebel T6","Canon","","Câmera","1500","","850","1275","Ticket Baixo","Niterói - RJ","Marcus Cavalcanti","10/31/1996","Roberta","Rodrigues","","F"
"HL1001","2","1/2/2016","443","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","Curitiba - PR","Marcus Cavalcanti","9/15/1986","Marina","Marinho","","F"
"HL1019","2","1/2/2016","300","iPhone XS","Apple","","Celular","6500","","2800","5525","Ticket Alto","Campinas - SP","Marcus Cavalcanti","6/11/1989","Sthefeson","Lima","","M"
"HL1019","2","1/2/2016","343","iPhone XS","Apple","","Celular","6500","","2800","5525","Ticket Alto","Niterói - RJ","Marcus Cavalcanti","1/25/1988","Gabriel","Mesquita","","M"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"HL1019","3","1/2/2016","301","iPhone XS","Apple","","Celular","6500","","2800","5525","Ticket Alto","Guarulhos - SP","Marcus Cavalcanti","9/26/1967","Pedro","Vogel","","M"
"HL1001","3","1/2/2016","86","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","Niterói - RJ","Marcus Cavalcanti","3/29/1982","Alon","Filho","","M"
"HL1019","4","1/2/2016","221","iPhone XS","Apple","","Celular","6500","","2800","5525","Ticket Alto","Rio de Janeiro - RJ","Carolina Cotta","1/21/1974","Thales","Ribeiro","","M"
"HL1001","4","1/2/2016","284","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","Belo Horizonte - MG","Carolina Biccas","1/21/1972","Isabelle","Souza","","F"
"HL1019","4","1/2/2016","549","iPhone XS","Apple","","Celular","6500","","2800","5525","Ticket Alto","Guarulhos - SP","Alfredo Araújo","9/21/1972","Letícia","Costa","","F"
"HL1005","3","1/2/2016","381","Câmera Digital Rebel T6","Canon","","Câmera","1500","","850","1275","Ticket Baixo","online","Eduardo Julianelli","3/30/1959","Paula","Aragão","","F"
"HL1005","5","1/2/2016","518","Câmera Digital Rebel T6","Canon","","Câmera","1500","","850","1275","Ticket Baixo","Niterói - RJ","Marcus Cavalcanti","3/12/1974","Giuseppe","Bhering","","M"
"HL1013","3","1/2/2016","350","Câmera Coolpix L340","Nikon","","Câmera","1550","","700","1318","Ticket Baixo","São Paulo - SP","Arthur Barreto","7/5/1987","Eduardo","Assis","","M"
"HL1023","3","1/2/2016","364","Samsung Dual Core","Samsung","","Notebook","1500","","550","1275","Ticket Baixo","Recife - PE","Arthur Barreto","9/29/1995","Joao","Forte","","M"
"HL1023","5","1/2/2016","459","Samsung Dual Core","Samsung","","Notebook","1500","","550","1275","Ticket Baixo","Guarulhos - SP","Allan Centurione","3/24/1999","Lucas","Hollander","","M"
"HL1005","5","1/2/2016","802","Câmera Digital Rebel T6","Canon","","Câmera","1500","","850","1275","Ticket Baixo","Belo Horizonte - MG","Carolina Biccas","7/13/1988","Fernanda","Cozendey","","F"
"HL1021","5","1/2/2016","443","Galaxy S8","Samsung","","Celular","3000","","1400","2550","Ticket Médio","online","Carolina Cotta","9/15/1986","Caio","Fanara","","M"
"HL1007","5","1/2/2016","760","Inspiron 15","Dell","","Notebook","2300","","1200","1955","Ticket Baixo","Salvador - BA","Alfredo Araújo","6/3/1958","Carlos","Sad","","M"
"HL1001","2","1/2/2016","291","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","São Paulo - SP","Matheus Leal","10/2/1990","Lucas","Teraoka","","M"
"HL1008","1","1/2/2016","346","Smart TV LED Full HD 55'","Philco","","Televisão","2000","","1250","1700","Ticket Baixo","Salvador - BA","Allan Centurione","10/7/1953","Brenno","Gabriel","","M"
"HL1009","1","1/2/2016","606","Moto G7","Motorola","","Celular","1400","","750","1190","Ticket Baixo","Salvador - BA","Carolina Cotta","10/30/1976","Guilherme","Rodrigues","","M"
"HL1021","1","1/2/2016","209","Galaxy S8","Samsung","","Celular","3000","","1400","2550","Ticket Médio","São Paulo - SP","Pedro Henrique","8/27/1963","Maurício","Correa","","M"
"HL1009","5","1/3/2016","67","Moto G7","Motorola","","Celular","1400","","750","1190","Ticket Baixo","online","Marcus Cavalcanti","8/7/1997","Thayane","Souza","","F"
"HL1010","5","1/3/2016","405","iPhone 6S","Apple","","Celular","1900","","1150","1615","Ticket Baixo","São Paulo - SP","Marcus Cavalcanti","7/16/1956","Maria","Rodrigues","","F"
"HL1007","2","1/3/2016","789","Inspiron 15","Dell","","Notebook","2300","","1200","1955","Ticket Baixo","São Paulo - SP","Marcus Cavalcanti","4/28/1983","Lucas","Aragão","","M"
"HL1001","1","1/3/2016","305","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","online","Marcus Cavalcanti","10/24/1968","Debora","Dalforne","","F"
"HL1009","1","1/3/2016","327","Moto G7","Motorola","","Celular","1400","","750","1190","Ticket Baixo","Niterói - RJ","Marcus Cavalcanti","1/28/1985","Pedro","Moraes","","M"
"HL1013","1","1/3/2016","706","Câmera Coolpix L340","Nikon","","Câmera","1550","","700","1318","Ticket Baixo","Porto Alegre - RS","Marcus Cavalcanti","7/8/1969","Débora","Lopes","","F"
"HL1014","4","1/3/2016","128","Galaxy J8","Samsung","","Celular","1100","","550","935","Ticket Baixo","Salvador - BA","Allan Centurione","8/4/1996","Bernardo","Assunção","","M"
"HL1013","4","1/3/2016","301","Câmera Coolpix L340","Nikon","","Câmera","1550","","700","1318","Ticket Baixo","Salvador - BA","Carolina Cotta","9/26/1967","Daniel","Antunes","","M"
"HL1019","4","1/3/2016","612","iPhone XS","Apple","","Celular","6500","","2800","5525","Ticket Alto","online","Carolina Cotta","1/28/1989","Isabelle","Ferreira","","F"
"HL1006","4","1/3/2016","455","TV LED 32'","Samsung","","Televisão","1400","","900","1190","Ticket Baixo","Campinas - SP","Diego Amorim","2/27/1970","Maria","Ramos","","F"
"HL1001","4","1/3/2016","749","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","Belo Horizonte - MG","Alfredo Araújo","11/22/1978","João","Teraoka","","M"
"HL1008","4","1/3/2016","578","Smart TV LED Full HD 55'","Philco","","Televisão","2000","","1250","1700","Ticket Baixo","São Paulo - SP","Alfredo Araújo","10/21/1964","Ruan","Oliveira","","M"
"HL1015","4","1/3/2016","776","Câmera Digital Sony Cyber","Sony","","Câmera","700","","300","595","Ticket Baixo","Belo Horizonte - MG","Alfredo Araújo","6/23/1984","Raíssa","Junior","","F"
"HL1021","4","1/3/2016","593","Galaxy S8","Samsung","","Celular","3000","","1400","2550","Ticket Médio","online","Eduardo Julianelli","3/30/1985","Samara","Silva","","F"
"HL1007","4","1/3/2016","286","Inspiron 15","Dell","","Notebook","2300","","1200","1955","Ticket Baixo","São Paulo - SP","Eduardo Julianelli","2/5/1953","Julia","Cardoso","","F"
"HL1013","3","1/3/2016","100","Câmera Coolpix L340","Nikon","","Câmera","1550","","700","1318","Ticket Baixo","São Paulo - SP","Eduardo Julianelli","5/4/1994","Amanda","Accioly","","F"
"HL1001","3","1/3/2016","422","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","Recife - PE","Carolina Biccas","11/12/1994","Igor","Michetti","","M"
"HL1001","3","1/3/2016","27","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","Guarulhos - SP","Carolina Cotta","2/26/1993","Natalia","Figueiredo","","F"
"HL1017","5","1/3/2016","370","Smart TV 75' 4K","Samsung","","Televisão","5200","","3500","4420","Ticket Alto","online","Allan Centurione","9/15/1985","Luíza","Silva","","F"
"HL1015","5","1/3/2016","464","Câmera Digital Sony Cyber","Sony","","Câmera","700","","300","595","Ticket Baixo","online","Carolina Cotta","11/29/1985","Hércules","Borges","","M"
"HL1001","5","1/3/2016","567","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","Niterói - RJ","Eduardo Julianelli","12/6/1960","Marcela","Rodrigues","","F"
"HL1013","2","1/3/2016","638","Câmera Coolpix L340","Nikon","","Câmera","1550","","700","1318","Ticket Baixo","Niterói - RJ","Natália Candiotto","12/20/1991","Roberta","Santos","","F"
"HL1007","2","1/3/2016","364","Inspiron 15","Dell","","Notebook","2300","","1200","1955","Ticket Baixo","online","Alfredo Araújo","9/29/1995","Henrique","Novak","","M"
"HL1018","2","1/3/2016","705","Smart Watch MI","Xiaomi","","Smart Watch","1200","","650","1020","Ticket Baixo","Campinas - SP","Diego Amorim","5/9/1970","Matheus","Huon","","M"
"HL1001","1","1/3/2016","613","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","online","Allan Centurione","11/28/1963","Vanessa","Aragão","","F"
"HL1009","1","1/3/2016","821","Moto G7","Motorola","","Celular","1400","","750","1190","Ticket Baixo","Niterói - RJ","Allan Centurione","5/2/1978","Hanna","Vieira","","F"
"HL1001","1","1/3/2016","566","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","São Paulo - SP","Diego Amorim","12/23/1990","Mariana","Barreira","","F"
"HL1018","1","1/3/2016","761","Smart Watch MI","Xiaomi","","Smart Watch","1200","","650","1020","Ticket Baixo","Porto Alegre - RS","Eduardo Julianelli","9/24/1992","João","Assis","","M"
"HL1001","5","1/4/2016","617","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","Rio de Janeiro - RJ","Allan Centurione","6/29/1980","Eduardo","Salomão","","M"
"HL1005","2","1/4/2016","45","Câmera Digital Rebel T6","Canon","","Câmera","1500","","850","1275","Ticket Baixo","online","Marcus Cavalcanti","12/31/1950","Izabel","Rosa","","F"
"HL1009","2","1/4/2016","425","Moto G7","Motorola","","Celular","1400","","750","1190","Ticket Baixo","Recife - PE","Marcus Cavalcanti","2/23/1989","Maria","Freire","","F"
"HL1007","2","1/4/2016","625","Inspiron 15","Dell","","Notebook","2300","","1200","1955","Ticket Baixo","online","Marcus Cavalcanti","11/3/1959","Paula","Rodrigues","","F"
"HL1014","2","1/4/2016","798","Galaxy J8","Samsung","","Celular","1100","","550","935","Ticket Baixo","Belo Horizonte - MG","Marcus Cavalcanti","6/2/1993","Ana","Rodrigues","","F"
"HL1014","2","1/4/2016","521","Galaxy J8","Samsung","","Celular","1100","","550","935","Ticket Baixo","Niterói - RJ","Marcus Cavalcanti","2/5/1951","Leonardo","Ferreira","","M"
"HL1012","2","1/4/2016","779","Dell G7","Dell","","Notebook","5500","","3200","4675","Ticket Alto","São Paulo - SP","Marcus Cavalcanti","4/27/1981","Eduardo","Miranda","","M"
"HL1001","1","1/4/2016","744","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","Campinas - SP","Marcus Cavalcanti","6/28/1997","Rafael","Chafin","","M"
"HL1001","4","1/4/2016","218","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","online","Allan Centurione","6/4/1984","Marcela","Alves","","F"
"HL1008","4","1/4/2016","326","Smart TV LED Full HD 55'","Philco","","Televisão","2000","","1250","1700","Ticket Baixo","Curitiba - PR","Pedro Henrique","3/17/1970","Livia","Barros","","F"
"HL1001","4","1/4/2016","233","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","Belo Horizonte - MG","Giovanna Menaged","9/4/1965","Fernanda","Mello","","F"
"HL1023","3","1/4/2016","672","Samsung Dual Core","Samsung","","Notebook","1500","","550","1275","Ticket Baixo","São Paulo - SP","João Pedro","1/27/1982","Fabio","Ribeiro","","M"
"HL1001","3","1/4/2016","149","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","São Paulo - SP","Alfredo Araújo","8/7/1978","Ives","Santos","","F"
"HL1009","3","1/4/2016","731","Moto G7","Motorola","","Celular","1400","","750","1190","Ticket Baixo","Porto Alegre - RS","Allan Centurione","6/30/1984","Breno","Calmon","","M"
"HL1016","5","1/4/2016","121","Smart Watch Galaxy","Samsung","","Smart Watch","1450","","700","1232","Ticket Baixo","online","Marcus Cavalcanti","11/21/1971","Lucas","Lima","","M"
"HL1019","5","1/4/2016","604","iPhone XS","Apple","","Celular","6500","","2800","5525","Ticket Alto","Belo Horizonte - MG","Diego Amorim","3/13/1973","Beatriz","Teixeira","","F"
"HL1009","5","1/4/2016","808","Moto G7","Motorola","","Celular","1400","","750","1190","Ticket Baixo","Guarulhos - SP","Carolina Biccas","5/17/1979","Cecília","Nóbrega","","F"
"HL1020","5","1/4/2016","195","Moto Z","Motorola","","Celular","1500","","650","1275","Ticket Baixo","Recife - PE","Natália Candiotto","5/13/1997","Rafaela","Ferreira","","F"
"HL1017","5","1/4/2016","226","Smart TV 75' 4K","Samsung","","Televisão","5200","","3500","4420","Ticket Alto","São Paulo - SP","Eduardo Julianelli","1/17/1951","Vanessa","Bach","","F"
"HL1007","5","1/4/2016","510","Inspiron 15","Dell","","Notebook","2300","","1200","1955","Ticket Baixo","Campinas - SP","Eduardo Julianelli","5/31/1965","Amanda","Guedes","","F"
"HL1005","5","1/4/2016","764","Câmera Digital Rebel T6","Canon","","Câmera","1500","","850","1275","Ticket Baixo","Belo Horizonte - MG","Giovanna Menaged","12/30/1952","Tainah","Arruda","","F"
"HL1007","2","1/4/2016","718","Inspiron 15","Dell","","Notebook","2300","","1200","1955","Ticket Baixo","online","Diego Amorim","4/21/1980","Izabel","Carneiro","","F"
"HL1007","1","1/4/2016","20","Inspiron 15","Dell","","Notebook","2300","","1200","1955","Ticket Baixo","Niterói - RJ","Carolina Biccas","12/1/1964","Thiago","Dantas","","M"
"HL1015","1","1/4/2016","75","Câmera Digital Sony Cyber","Sony","","Câmera","700","","300","595","Ticket Baixo","Campinas - SP","Carolina Cotta","7/3/1976","Marianna","Almeida","","F"
"HL1007","1","1/4/2016","110","Inspiron 15","Dell","","Notebook","2300","","1200","1955","Ticket Baixo","online","Carolina Cotta","6/2/1952","Stela","Neves","","F"
"HL1021","1","1/4/2016","107","Galaxy S8","Samsung","","Celular","3000","","1400","2550","Ticket Médio","Salvador - BA","Natália Candiotto","10/20/1975","Brenno","Rodriguez","","M"
"HL1006","1","1/4/2016","387","TV LED 32'","Samsung","","Televisão","1400","","900","1190","Ticket Baixo","São Paulo - SP","Eduardo Julianelli","6/17/1968","Gabriel","Rocha","","M"
"HL1008","1","1/4/2016","495","Smart TV LED Full HD 55'","Philco","","Televisão","2000","","1250","1700","Ticket Baixo","São Paulo - SP","Matheus Leal","3/24/1955","Beatriz","Barreira","","F"
"HL1024","2","1/5/2016","751","Aspire 5","Acer","","Notebook","2400","","1150","2040","Ticket Baixo","online","João Pedro","11/16/1950","Pedro","Rotava","","M"
"HL1021","5","1/5/2016","46","Galaxy S8","Samsung","","Celular","3000","","1400","2550","Ticket Médio","Belo Horizonte - MG","Marcus Cavalcanti","5/29/1967","Ana","Pedrazza","","F"
"HL1001","2","1/5/2016","114","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","Curitiba - PR","Marcus Cavalcanti","5/29/1981","Diego","Santos","","M"
"HL1007","2","1/5/2016","397","Inspiron 15","Dell","","Notebook","2300","","1200","1955","Ticket Baixo","Rio de Janeiro - RJ","Marcus Cavalcanti","11/13/1971","Pedro","Dias","","M"
"HL1020","3","1/5/2016","551","Moto Z","Motorola","","Celular","1500","","650","1275","Ticket Baixo","Guarulhos - SP","Marcus Cavalcanti","10/31/1969","Julia","Neves","","F"
"HL1004","1","1/5/2016","92","Apple Watch","Apple","","Smart Watch","1750","","900","1488","Ticket Baixo","Belo Horizonte - MG","Marcus Cavalcanti","12/30/1975","Caio","Mesquita","","M"
"HL1004","4","1/5/2016","644","Apple Watch","Apple","","Smart Watch","1750","","900","1488","Ticket Baixo","Belo Horizonte - MG","Alfredo Araújo","12/9/1966","Ana","Essaber","","F"
"HL1005","4","1/5/2016","270","Câmera Digital Rebel T6","Canon","","Câmera","1500","","850","1275","Ticket Baixo","Rio de Janeiro - RJ","Arthur Barreto","3/1/1997","Raphael","Azevedo","","M"
"HL1007","4","1/5/2016","515","Inspiron 15","Dell","","Notebook","2300","","1200","1955","Ticket Baixo","Porto Alegre - RS","João Pedro","3/30/1977","Brenno","Lopes","","M"
"HL1007","3","1/5/2016","144","Inspiron 15","Dell","","Notebook","2300","","1200","1955","Ticket Baixo","Niterói - RJ","Carolina Biccas","5/26/1973","Carolina","Andrade","","F"
"HL1018","5","1/5/2016","507","Smart Watch MI","Xiaomi","","Smart Watch","1200","","650","1020","Ticket Baixo","Guarulhos - SP","Pedro Henrique","5/9/1951","Juliana","Paulo","","F"
"HL1015","5","1/5/2016","498","Câmera Digital Sony Cyber","Sony","","Câmera","700","","300","595","Ticket Baixo","Rio de Janeiro - RJ","Eduardo Julianelli","7/3/1990","Ana","Assis","","F"
"HL1023","5","1/5/2016","532","Samsung Dual Core","Samsung","","Notebook","1500","","550","1275","Ticket Baixo","Belo Horizonte - MG","Eduardo Julianelli","11/26/1981","Isabel","Gontijo","","F"
"HL1013","2","1/5/2016","408","Câmera Coolpix L340","Nikon","","Câmera","1550","","700","1318","Ticket Baixo","São Paulo - SP","João Pedro","2/17/1972","Miguel","Alfradique","","M"
"HL1007","2","1/5/2016","803","Inspiron 15","Dell","","Notebook","2300","","1200","1955","Ticket Baixo","Guarulhos - SP","Arthur Barreto","1/11/1959","Rubens","Medeiros","","M"
"HL1015","2","1/5/2016","633","Câmera Digital Sony Cyber","Sony","","Câmera","700","","300","595","Ticket Baixo","São Paulo - SP","Carolina Cotta","6/6/1991","Sandy","Santos","","F"
"HL1005","2","1/5/2016","242","Câmera Digital Rebel T6","Canon","","Câmera","1500","","850","1275","Ticket Baixo","online","Diego Amorim","10/25/1976","Daniel","Morelli","","M"
"HL1021","1","1/5/2016","483","Galaxy S8","Samsung","","Celular","3000","","1400","2550","Ticket Médio","São Paulo - SP","Carolina Cotta","10/22/1958","Júlio","Jordao","","M"
"HL1008","1","1/5/2016","617","Smart TV LED Full HD 55'","Philco","","Televisão","2000","","1250","1700","Ticket Baixo","Belo Horizonte - MG","João Pedro","6/29/1980","Milena","Johnson","","F"
"HL1008","5","1/6/2016","353","Smart TV LED Full HD 55'","Philco","","Televisão","2000","","1250","1700","Ticket Baixo","online","Arthur Barreto","10/24/1967","Sarah","Guedes","","F"
"HL1013","4","1/6/2016","777","Câmera Coolpix L340","Nikon","","Câmera","1550","","700","1318","Ticket Baixo","Salvador - BA","Carolina Cotta","4/22/1961","Gabriella","Essaber","","F"
"HL1018","4","1/6/2016","84","Smart Watch MI","Xiaomi","","Smart Watch","1200","","650","1020","Ticket Baixo","São Paulo - SP","Carolina Cotta","12/14/1998","Gabriel","Dias","","M"
"HL1020","4","1/6/2016","519","Moto Z","Motorola","","Celular","1500","","650","1275","Ticket Baixo","Recife - PE","Arthur Barreto","2/22/1961","Leandro","Corrêa","","M"
"HL1023","5","1/6/2016","560","Samsung Dual Core","Samsung","","Notebook","1500","","550","1275","Ticket Baixo","Belo Horizonte - MG","Marcus Cavalcanti","4/16/1987","Rebeca","Silva","","F"
"HL1008","4","1/6/2016","213","Smart TV LED Full HD 55'","Philco","","Televisão","2000","","1250","1700","Ticket Baixo","Curitiba - PR","João Pedro","4/29/1953","Luis","Silva","","F"
"HL1015","3","1/6/2016","677","Câmera Digital Sony Cyber","Sony","","Câmera","700","","300","595","Ticket Baixo","Belo Horizonte - MG","Eduardo Julianelli","4/26/1998","Eduardo","Figueiredo","","M"
"HL1009","5","1/6/2016","502","Moto G7","Motorola","","Celular","1400","","750","1190","Ticket Baixo","Belo Horizonte - MG","Allan Centurione","4/14/1991","Laura","Gonçalves","","F"
"HL1024","5","1/6/2016","222","Aspire 5","Acer","","Notebook","2400","","1150","2040","Ticket Baixo","Belo Horizonte - MG","Allan Centurione","5/28/1981","Gabriela","Forte","","F"
"HL1001","5","1/6/2016","751","Smart TV 50' 4K","LG","","Televisão","2600","","1700","2210","Ticket Médio","online","Carolina Cotta","11/16/1950","Thiago","Quinto","","M"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"HL1005","4","1/6/2016","556","Câmera Digital Rebel T6","Canon","","Câmera","1500","","850","1275","Ticket Baixo","Belo Horizonte - MG","Allan Centurione","5/29/1984","Lucas","Carneiro","","M"
"HL1003","2","1/6/2016","345","Galaxy S10","Samsung","","Celular","4500","","2800","3825","Ticket Médio","Niterói - RJ","Alfredo Araújo","10/3/1991","Milena","Bitencourt","","F"
"HL1018","2","1/6/2016","650","Smart Watch MI","Xiaomi","","Smart Watch","1200","","650","1020","Ticket Baixo","Niterói - RJ","Carolina Biccas","4/7/1954","Juliana","Santos","","F"
